 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05671;LIERGANES;43,344991;-3,742572;CALLE PUENTE ROMANO, 1;39727;Liérganes;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05671.pdf;
05672;PUENTE AGÜERO;43,406489;-3,719342;CARRETERA CA-421 - ESTACION FERROCARRIL, S/N;39719;Entrambasaguas;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05672.pdf;
05673;VILLAVERDE  DE PONTONES;43,411322;-3,703643;CALLE BARRIO EL RESBALON, 9;39793;Ribamontán al Monte;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05673.pdf;
05675;HOZ DE ANERO;43,404885;-3,666883;BARRIO ESTACION FERROCARRIL, S/N;39794;Ribamontán al Monte;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05675.pdf;
05677;BERANGA;43,413759;-3,576887;BARRIO ESTACION FERROCARRIL, 10;39730;Hazas de Cesto;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05677.pdf;
05679;GAMA;43,423096;-3,524948;CARRETERA N-634 - BARRIO DE GAMA, S/N;39790;Bárcena de Cicero;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05679.pdf;
05681;CICERO;43,417163;-3,490532;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;39790;Bárcena de Cicero;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05681.pdf;
05683;TRETO;43,394206;-3,469285;BARRIO TRETO, 4;39760;Bárcena de Cicero;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05683.pdf;
05685;LIMPIAS;43,358843;-3,433382;CARRETERA CA-257 - ESTACION FERROCARRIL, S/N;39762;Limpias;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05685.pdf;
05687;MARRON;43,34661;-3,420918;CARRETERA CA-258 - ESTACION FERROCARRIL, S/N;39849;Ampuero;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05687.pdf;
